评论时间,昵称,评论内容
2020-11-30 21:43:08,98达达啦啦啦,黑暗森林虽然恐怖，但一想到这样的法则，我就想到自己是时刻准备的猎人，很有趣，兴奋。来吧，比比谁更猛吧，看看谁的文明能存续下去
2020-11-30 21:35:56,用户3248558527,还要说一句，真实的地球是不需要怕任何文明，即使暴露位置也不会被任何文明毁灭的，挑衅的代价就是被毁灭
2020-11-30 19:00:08,不各理,真的好听
2020-11-30 19:00:03,不各理,给人一种寂静黑暗又壮观的感觉
2020-11-29 22:02:05,S_Dewey,第三部程心传什么时候出呀[多多可怜]好期待呀(๑˙ー˙๑)
2020-11-29 21:55:25,一般路过sans酱,水滴? 四维碎块教你做人!
2020-11-29 21:45:18,一般路过sans酱,解冻
2020-11-29 21:42:27,一般路过sans酱,铜制标签教你做人
2020-11-29 21:19:23,白果协会会员其一,中毒警告
2020-11-29 20:51:17,一般路过sans酱,给敌人发坐标
2020-11-29 20:04:14,上官婉儿暗恋曜,一个男生爱上了一个女孩，为她买下了一颗星星。在送给她的那颗星星上，女孩发现了他的另一个礼物：一个微型的宇宙
2020-11-29 19:46:58,提亚福斯,少数人的生命和多数人的生命是没有区别的，我们不能以多数人的幸福最大化，而牺牲少数人的利益如果一个人以非正义的手段去实行郑义的事情，那么这个正义的事情一定是不正义的，或者说是一定不会成功的即使张北海成功的使自然选择号飞出太阳系，挽救少数人生命，但是，这些活下来的人，一定会自杀
2020-11-29 19:37:35,哈里鹿雅,”没关系的，都一样。“
2020-11-29 18:13:08,沉默寡言自给愁,敬虫子（拿出桶装葡萄酒🍷）
2020-11-29 12:32:12,南大鳥77,六分仪震怒，粉丝泪奔T﹏T。丁仪已经很努力了！快跑啊！孩子们！
2020-11-29 11:36:46,momovc,太阳快落下去了，你们的孩子居然不害怕？” “当然不害怕，她知道这是和平模式。“ “。。。。。。“
2020-11-29 10:53:20,bugc_JX3Y,没有吧，后来万有引力和蓝色空间在银河系猎户座旋臂中心建立了1—4号世界
2020-11-29 10:25:27,dsdsssa,黑，针™黑啊
2020-11-29 02:04:49,真他ma的黑,吹爆大史
2020-11-29 00:14:22,网抑云作曲没有罗辑,请放心，隔壁宇宙已经爆发黑暗森林法则终极规律，已经归零了。而本宇宙正在朝另外方向发展，不会更隔壁的一样。这正是多元化宇宙的多样性造成的。
2020-11-28 22:59:30,Saumy,说白了，就是市场普及率提高了，但用户群体质量也急剧下沉了
2020-11-28 19:48:44,送我dx3906,大刘很多作品都把未来描绘的那么冷漠，那么绝望，那么冰冷。在回顾人类五千年的厮杀史。他其实是让我们更加热爱生活吧
